QUEST_UNUSED_20150317_000001	啊哈，這條路是前往拜訪寬恕者大師的路啊！祝你好武運。
QUEST_UNUSED_20151001_000544	利迪亞夏班與造箭者的弓箭[造箭者轉職]
QUEST_UNUSED_20151001_000545	我會找找看箭矢。
QUEST_UNUSED_20151001_000546	因為沒信心而放棄。
QUEST_UNUSED_20151001_000547	詢問如果馴服怪物。
QUEST_UNUSED_20151001_000548	胡說八道。
QUEST_UNUSED_20151001_000549	一發必中[黑暗騎兵轉職]
QUEST_UNUSED_20151001_000550	我有信心。
QUEST_UNUSED_20151001_000551	拒絕說並非如此。
QUEST_UNUSED_20151001_000552	我會轉交。
QUEST_UNUSED_20151001_000553	因為可疑而拒絕。
QUEST_UNUSED_20151001_000554	我會帶帳簿來。
QUEST_UNUSED_20151001_000555	我下次會再來。
QUEST_UNUSED_20151001_000556	我會解決。
QUEST_UNUSED_20151001_000557	給我考慮的時間。
QUEST_UNUSED_20151001_000558	某人的記錄(1)
QUEST_UNUSED_20151001_000559	正在刮灰塵
QUEST_UNUSED_20151001_000560	柱子裡一掉出黑粉，怪物一看到就蜂湧而上！
QUEST_UNUSED_20151001_000561	正在抖出黑粉
QUEST_UNUSED_20151001_000562	一抖出黑粉就看到某個記錄！
QUEST_UNUSED_20151001_000563	某人的記錄(2)
QUEST_UNUSED_20151001_000564	也許是因為白天的關係，夜光蟲沒有發光！{nl}請從周邊怪物身上取回可以當夜光蟲食物的怪物油脂！
QUEST_UNUSED_20151001_000565	必須要收集怪物油脂才可以閱讀字句！
QUEST_UNUSED_20151001_000566	再次觀察中
QUEST_UNUSED_20151001_000567	夜光蟲開始發出光芒！
QUEST_UNUSED_20151001_000568	某人的記錄(3)
QUEST_UNUSED_20151001_000569	正在觀察柱子
QUEST_UNUSED_20151001_000570	站在柱子附近，說出從某個地方獲得的數字吧！
QUEST_UNUSED_20151001_000571	柱子的字句閱讀中
QUEST_UNUSED_20151001_000572	刻在柱子上的人物(1)
QUEST_UNUSED_20151001_000573	太暗了看不見！請在周圍採集發光苔蘚！
QUEST_UNUSED_20151001_000574	正在閱讀柱子的字句
QUEST_UNUSED_20151001_000575	多虧有發光苔蘚，可以閱讀字句了！
QUEST_UNUSED_20151001_000576	刻在柱子上的人物(2)
QUEST_UNUSED_20151001_000577	也沒有碰柱子，柱子就倒下了！{nl}請從怪物那裡莪回修理柱子時所用的黏性液體！
QUEST_UNUSED_20151001_000578	需要黏性液體。
QUEST_UNUSED_20151001_000579	柱子修理中
QUEST_UNUSED_20151001_000580	刻在柱子上的人物(3)
QUEST_UNUSED_20151001_000581	正在塞碎片進去
QUEST_UNUSED_20151001_000582	已變成可以閱讀字句的狀態！
QUEST_UNUSED_20151001_000583	收集聖物(4)
QUEST_UNUSED_20151001_000584	我會去挖掘。
QUEST_UNUSED_20151001_000585	聖物挖掘中
QUEST_UNUSED_20151001_000586	已發現聖物！
QUEST_UNUSED_20151001_000587	我會收集看看。
QUEST_UNUSED_20151001_000588	不會再進入了。
QUEST_UNUSED_20151001_000589	記載著露克立斯部隊的相關事蹟。
QUEST_UNUSED_20151001_000590	撤退指令
QUEST_UNUSED_20151001_000591	旅程的開始(1)
QUEST_UNUSED_20151001_000592	旅程的開始(2)
QUEST_UNUSED_20151001_000593	旅程的開始(3)
QUEST_UNUSED_20151001_000594	旅程的開始(4)
QUEST_UNUSED_20151001_000595	歐勒夏(1)
QUEST_UNUSED_20151001_000596	歐勒夏(2)
QUEST_UNUSED_20151001_000597	歐勒夏(3)
QUEST_UNUSED_20151001_000598	帶著感恩之心
QUEST_UNUSED_20151001_000599	非常想要獻給你
QUEST_UNUSED_20151001_000600	迷失於森林(1)
QUEST_UNUSED_20151001_000601	迷失於森林(2)
QUEST_UNUSED_20151001_000602	沒有主人的物品
QUEST_UNUSED_20151001_000603	不安全的安全地帶
QUEST_UNUSED_20151001_000604	無法休息的移居民
QUEST_UNUSED_20151001_000605	消失的主教(1)
QUEST_UNUSED_20151001_000606	消失的主教(2)
QUEST_UNUSED_20151001_000607	消失的主教(3)
QUEST_UNUSED_20151001_000608	消失的主教(5)
QUEST_UNUSED_20151001_000609	尋找被消除的痕跡
QUEST_UNUSED_20151001_000610	被燒毀的蹤跡(1)
QUEST_UNUSED_20151001_000611	被燒毀的蹤跡(2)
QUEST_UNUSED_20151001_000612	尋找被消除的痕跡(5)
QUEST_UNUSED_20151001_000613	尋找被消除的痕跡(6)
QUEST_UNUSED_20151001_000614	情報員的苦差
QUEST_UNUSED_20151001_000615	消除味道
QUEST_UNUSED_20151001_000616	轉變方向
QUEST_UNUSED_20151001_000617	怪物群落地(1)
QUEST_UNUSED_20151001_000618	怪物群落地(2)
QUEST_UNUSED_20151001_000619	大規模搜索(1)
QUEST_UNUSED_20151001_000620	大規模搜索(2)
QUEST_UNUSED_20151001_000621	大規模搜索(3)
QUEST_UNUSED_20151001_000622	大規模搜索(4)
QUEST_UNUSED_20151001_000623	大規模搜索(5)
QUEST_UNUSED_20151001_000624	大規模搜索(6)
QUEST_UNUSED_20151001_000625	輔助活動
QUEST_UNUSED_20151001_000626	可疑場所
QUEST_UNUSED_20151001_000627	事前調查(1)
QUEST_UNUSED_20151001_000628	事前調查(2)
QUEST_UNUSED_20151001_000629	汙染的怪物
QUEST_UNUSED_20151001_000630	比錢還珍貴的性命
QUEST_UNUSED_20151001_000631	回收本錢
QUEST_UNUSED_20151001_000632	危險線索(1)
QUEST_UNUSED_20151001_000633	危險線索(2)
QUEST_UNUSED_20151001_000634	危險線索(3)
QUEST_UNUSED_20151001_000635	烏魯波納斯的下落(1)
QUEST_UNUSED_20151001_000636	烏魯波納斯的下落(2)
QUEST_UNUSED_20151001_000637	烏魯波納斯的下落(3)
QUEST_UNUSED_20151001_000638	烏魯波納斯的下落(4)
QUEST_UNUSED_20151001_000639	烏魯波納斯的下落(5)
QUEST_UNUSED_20151001_000640	烏魯波納斯的下落(6)
QUEST_UNUSED_20151001_000641	烏魯波納斯的下落(7)
QUEST_UNUSED_20151001_000642	辦事確實
QUEST_UNUSED_20151001_000643	新敵人
QUEST_UNUSED_20151001_000644	魔族包袱(1)
QUEST_UNUSED_20151001_000645	魔族包袱(2)
QUEST_UNUSED_20151001_000646	掌心之中(5)
QUEST_UNUSED_20151001_000647	掌心之中(6)
QUEST_UNUSED_20151001_000648	如果又如果(1)
QUEST_UNUSED_20151001_000649	如果又如果(2)
QUEST_UNUSED_20151001_000650	驅逐
QUEST_UNUSED_20151001_000651	募集囚犯
QUEST_UNUSED_20151001_000652	在更深處(1)
QUEST_UNUSED_20151001_000653	在更深處(2)
QUEST_UNUSED_20151001_000654	在更深處(3)
QUEST_UNUSED_20151001_000655	在更深處(4)
QUEST_UNUSED_20151001_000656	請再等一下。
QUEST_UNUSED_20151001_000657	全部還原(1)
QUEST_UNUSED_20151001_000658	全部還原(2)
QUEST_UNUSED_20151001_000659	除銹
QUEST_UNUSED_20151001_000660	珍貴的
QUEST_UNUSED_20151001_000661	想法轉換
QUEST_UNUSED_20151001_000662	全部還原(3)
QUEST_UNUSED_20151001_000663	餵食飛行型怪物
QUEST_UNUSED_20151001_000664	馴鷹者大師要試試看怪物是否可以代替馴鷹者用，請對三種飛行型怪物餵食食物，並試著馴服牠們。
QUEST_UNUSED_20151001_000665	跟馴鷹者大師報告
QUEST_UNUSED_20151001_000666	馴服怪物失敗了。回去找馴鷹者大師。
QUEST_UNUSED_20151001_000667	到祈願森林找黑暗騎兵大師吧！
QUEST_UNUSED_20151001_000668	對普通怪物連續命中200次
QUEST_UNUSED_20151001_000669	黑暗騎兵大師說要觀察你是否具備準確命中鎖定敵人的實力。請攻擊普通怪物，連線命中200次吧！
QUEST_UNUSED_20151001_000670	沒有失誤已連續命中全部敵人。回去找黑暗騎兵大師。
QUEST_UNUSED_20151001_000671	尋找躲藏的接頭人並轉交物品
QUEST_UNUSED_20151001_000672	武僧大師說去見巴伊爾派人的人轉交他給的物品。因為接頭人躲起來，所以前往武僧大師寫在紙條上的場所直接說出暗號，並將物品轉交給接頭人。
QUEST_UNUSED_20151001_000673	跟武僧大師報告
QUEST_UNUSED_20151001_000674	順利地將物品轉交給接頭人了。回去找武僧大師。
QUEST_UNUSED_20151001_000675	搜索寬恕者大師的帳簿
QUEST_UNUSED_20151001_000676	寬恕者大師說他持有的帳簿被撕碎無法使用了。請到修道院 35_3幫忙找回寬恕者大師所隱藏的備份帳簿。
QUEST_UNUSED_20151001_000677	已找到寬恕者大師的帳簿。回去找寬恕者大師。
QUEST_UNUSED_20151001_000678	收集植物怪物的樣本
QUEST_UNUSED_20151001_000679	德魯伊大師說他正在調查神樹之日以後過度成長的植物。幫助他的研究，請消滅植物型怪物並收集樣本。愈強的怪物可以獲得愈多的樣本。
QUEST_UNUSED_20151001_000680	轉交給德魯伊大師
QUEST_UNUSED_20151001_000681	已充份收集植物型怪物的樣本。回去找德魯伊大師。
QUEST_UNUSED_20151001_000682	在峽谷地帶 36_1設置淨化的羅姆巴
QUEST_UNUSED_20151001_000683	神諭師大師說最近魔氣變強，他自身的能力受到防礙。特別是魔氣變強防礙最嚴重的峽谷地帶 36_1，去那裡設置淨化的羅姆巴吧！
QUEST_UNUSED_20151001_000684	跟神諭師大師報告
QUEST_UNUSED_20151001_000685	已設置好淨化的羅姆巴。回去找神諭師大師。
QUEST_UNUSED_20151001_000686	開啟寶箱
QUEST_UNUSED_20151001_000687	避開石化霜消滅怪物
QUEST_UNUSED_20151001_000688	一打開寶箱，微弱石化霜就出現，連周圍的怪物也跑過來！避開石化霜，消滅所有怪物吧！
QUEST_UNUSED_20151001_000689	觀察柱子
QUEST_UNUSED_20151001_000690	一進入卡魯艾平野就看到非常多的柱子，有令人印象很深刻的柱子，請靠近觀察看看。
QUEST_UNUSED_20151001_000691	守護柱子
QUEST_UNUSED_20151001_000692	怪物們蜂湧而上攻擊柱子！請守護柱子。
QUEST_UNUSED_20151001_000693	從柱子裡抖出粉末
QUEST_UNUSED_20151001_000694	怪物們會湧入的理由是這黑粉看起來像食物的關係嗎？已擊退所有怪物，將柱子上的黑粉全部抖掉吧！
QUEST_UNUSED_20151001_000695	包含某人的記錄的柱子好像還有，請觀察柱子。如果有夜光蟲，就算很暗也可以閱讀柱子的字句。
QUEST_UNUSED_20151001_000696	取得怪物油脂
QUEST_UNUSED_20151001_000697	如果要讓夜光蟲在白天也發光需要怪物油脂。請狩獵怪物收集怪物油脂。
QUEST_UNUSED_20151001_000698	閱讀刻在柱子上的字句
QUEST_UNUSED_20151001_000699	已收集好怪物油脂，帶去柱子那裡，用夜光蟲的光閱讀刻在柱子上的字句。
QUEST_UNUSED_20151001_000700	消滅怪物獲得怪物油脂
QUEST_UNUSED_20151001_000701	其它柱子上好像還有某人的記錄，請觀察柱子。
QUEST_UNUSED_20151001_000702	說出數字
QUEST_UNUSED_20151001_000703	上頭寫著如果說出在卡魯艾平野的某處獲得的提示數字，就可以閱讀柱子的字句，靠近柱子在聊天視窗上輸入數字。
QUEST_UNUSED_20151001_000704	已經開始可以看見柱子上刻了什麼！請閱讀看看！
QUEST_UNUSED_20151001_000705	柱子好像出現了！靠近觀察看看吧！
QUEST_UNUSED_20151001_000706	補修柱子
QUEST_UNUSED_20151001_000707	如果要閱讀召喚柱子的字句需要有發光苔蘚，請在周圍取得看看。但是，如果5分內沒有回來，就要等下一個柱子出現，所以請加快行動。
QUEST_UNUSED_20151001_000708	閱讀柱子的字句
QUEST_UNUSED_20151001_000709	現在可以閱讀柱子的字句，前往柱子閱讀看看吧！
QUEST_UNUSED_20151001_000710	其它柱子上應該還有接續這故事的其它記錄存在，請觀察柱子。
QUEST_UNUSED_20151001_000711	取回黏性液體
QUEST_UNUSED_20151001_000712	也沒有碰柱子，柱子就倒下了！需要修理柱子，從周圍常見怪物身上取回怪物的黏性液體吧！
QUEST_UNUSED_20151001_000713	修理柱子
QUEST_UNUSED_20151001_000714	已收集好黏性液體，現在回去補修柱子吧！
QUEST_UNUSED_20151001_000715	消滅怪物取回%s
QUEST_UNUSED_20151001_000716	取得黏性液體
QUEST_UNUSED_20151001_000717	剩下的故事好像寫在那個柱子上，靠近觀察看看。
QUEST_UNUSED_20151001_000718	在柱子裡塞入碎片
QUEST_UNUSED_20151001_000719	將持有的紋樣碎片塞入好像正好，將碎片塞入看看。但是，如果放棄任務紋樣碎片會消失。紋樣碎片消失時，如果再前往柱子那裡，可以獲得紋樣碎片。
QUEST_UNUSED_20151001_000720	將持有的紋樣碎片塞入好像正好，將碎片塞入看看。
QUEST_UNUSED_20151001_000721	請和尤拉泰繼續進行和聖物有關的對話。
QUEST_UNUSED_20151001_000722	前來挖掘聖物
QUEST_UNUSED_20151001_000723	前往用探索棒找到的地方，並試著小心挖掘聖物。
QUEST_UNUSED_20151001_000724	跟尤拉泰報告
QUEST_UNUSED_20151001_000725	好像找到聖物了。請拿去給尤拉泰。
QUEST_UNUSED_20151001_000726	葳荷米娜凱利奧特目不轉睛地看著你所持有的東西。請和葳荷米娜凱利奧特對話。
QUEST_UNUSED_20151001_000727	收集露克立斯的部隊印章和羊皮紙文件
QUEST_UNUSED_20151001_000728	葳荷米娜凱利奧特想要有更多的材料，到大地要塞取得值得的情報。
QUEST_UNUSED_20151001_000729	轉交給葳荷米娜凱利奧特
QUEST_UNUSED_20151001_000730	這程度葳荷米娜凱利奧特應該會滿足，請轉交給葳荷米娜凱利奧特。
QUEST_UNUSED_20151001_000731	和露克立斯部隊士兵靈魂對話
QUEST_UNUSED_20151001_000732	請和露克立斯部隊士兵靈魂對話。
QUEST_UNUSED_20151001_000733	吹響號角並告知靈魂們撤退命令
QUEST_UNUSED_20151001_000734	請吹響號角並告知露克立斯部隊士兵靈魂們撤退命令。
QUEST_UNUSED_20151001_000735	和祭司伊魯瑪對話
QUEST_UNUSED_20151001_000736	亞夏克地牢3樓的祭司伊魯瑪正在等待某人的幫助。
QUEST_UNUSED_20151001_000737	一進入到隱居地，魔君主馬魯若斯突然襲擊了！
QUEST_UNUSED_20151001_000738	已消滅魔君主馬魯若斯。請和祭司伊魯瑪對話。
QUEST_UNUSED_20151001_000739	消滅魔君主馬魯若斯
QUEST_UNUSED_20151001_000740	已採集石頭！
QUEST_UNUSED_20151001_000741	什麼也得不到。
QUEST_UNUSED_20161118_000742	委託石
QUEST_UNUSED_20161118_000743	我們魔法協會為了研究各地區的怪物，而在收集怪物的標本。{nl}希望你可以多參與。
QUEST_UNUSED_20161118_000744	收集回來的材料魔法協會將會珍惜地研究。{nl}非常謝謝你的協助。
QUEST_UNUSED_20161118_000745	雖然了解你的熱情，但實力如何呢?{nl}從魔法師之塔帶回畢拉空的碎片和綠色德雷克的鱗片吧。
QUEST_UNUSED_20161118_000746	如果施術者的靈魂未經鍛鍊，會被死靈法師咒術的邪惡氣息侵蝕。{nl}跟我戰鬥，證明你的靈魂有多強。
QUEST_UNUSED_20161118_000747	這些就是樣品啊。這樣就能滿足交易條件了。{nl}很好。我會負責讓你變得更強。
QUEST_UNUSED_20161118_000748	身為聖火祭司當然會想登上更高的境界，去膜拜一下佩迪米安的女神像再回來找我。{nl}聖地巡禮不就是盡全力做對女神應盡義務的必經過程嗎？
QUEST_UNUSED_20161118_000749	我有個委託絕對不想被鎖鏈法師大師搶走。{nl}如果你替忙碌的我處理那件委託，我就教你念力的運用方法。怎麼樣？
QUEST_UNUSED_20161118_000750	厲害！{nl}現在別管鎖鏈法師大師了，我們來聊聊念力吧。
QUEST_UNUSED_20161118_000751	拿著鑰匙的幽靈范托應該就在周圍…{nl}真奇怪呢。
QUEST_UNUSED_20161118_000752	果然不能小看。沒有受傷吧。{nl}下一個碑文就在前往迪基內岔路的路上。
QUEST_UNUSED_20161118_000753	在接受我的指導之前，我能幫助你體會實戰的感覺。{nl}
QUEST_UNUSED_20161118_000754	我以為要花一點時間，動作挺快的嘛。{nl}我們不是師徒關係而是戰友關係，請多多指教。
QUEST_UNUSED_20161118_000755	只要能擁有石化都市中心街道上生猛的原木，什麼我都答應你…{nl}例如教導讓你成為雕刻師之類的。
QUEST_UNUSED_20161118_000756	外城壁的裝置很多都很危險。{nl}若是怪物們不小心碰到而運轉會發生問題的，真是令人擔心。
QUEST_UNUSED_20161118_000757	真的嗎？{nl}鬆了一口氣。
QUEST_UNUSED_20161118_000758	在這裡調查讓人膽顫心驚。
QUEST_UNUSED_20161118_000759	幸好。{nl}這些應該是沒問題了。
QUEST_UNUSED_20161118_000760	怎麼會…怪物躲起來了啊。{nl}即便如此還能平安回來真是太幸運了。
QUEST_UNUSED_20161118_000761	那小子居然暈過去了..{nl}看來啟示者你比我想像的更強阿。真佩服。{nl}若是與啟示者你一起，我看修復修道院也輕而易舉了吧。
QUEST_UNUSED_20161118_000762	魔法協會的收集委託
QUEST_UNUSED_20161118_000763	協助吧
QUEST_UNUSED_20161118_000764	好像沒有幫忙的空閒。
QUEST_UNUSED_20161118_000765	保管室可疑的秘密裝置
QUEST_UNUSED_20161118_000766	囚犯的信件(2)
QUEST_UNUSED_20161118_000767	外城壁核心回收作戰(1)
QUEST_UNUSED_20161118_000768	正在和其他奎波爾們說調查的內容
QUEST_UNUSED_20161118_000769	怪物們好像非常具威脅性的樣子
QUEST_UNUSED_20161118_000770	一點也不危險
QUEST_UNUSED_20161118_000771	外城壁的證據保存
QUEST_UNUSED_20161118_000772	在那之前一起逃吧
QUEST_UNUSED_20161118_000773	確認委託石
QUEST_UNUSED_20161118_000774	請確認魔法協會的委託石。
QUEST_UNUSED_20161118_000775	獲得怪物標本
QUEST_UNUSED_20161118_000776	魔法協會的委託石為了怪物研究，請求收集怪物的標本。請消滅周圍的怪物，並從怪物那裡收集可以獲得的部位。
QUEST_UNUSED_20161118_000777	向委託石報告
QUEST_UNUSED_20161118_000778	這程度，應該已經充份收集怪物的標本了。請回去到委託石那吧。
QUEST_UNUSED_20161118_000779	和重裝步兵次級大師對話
QUEST_UNUSED_20161118_000780	請去找夏奧雷伊西邊森林的重裝步兵次級大師。
QUEST_UNUSED_20161118_000781	首先越過夏奧雷伊礦山村莊，經過斯拉屋塔斯峽谷和凱利高原，進入泰內聖堂。 為了證明你變強的決心，請到泰內聖堂地下1層取得葛利查頓的皮革，地上1層取得卡露克的獠牙，然後到地上2層取得伊諾溫的黑粉給我。
QUEST_UNUSED_20161118_000782	證明想變強的決心所需的材料已經全部收集到了。請回去找重裝步兵次級大師。
QUEST_UNUSED_20161118_000783	與念力法師次級大師對話
QUEST_UNUSED_20161118_000784	請去找夏奧雷伊礦山村莊的念力法師次級大師。
QUEST_UNUSED_20161118_000785	念力法師大師勸你如果對這領域很有興趣的話，要不要先當他的助手。先幫念力法師大師帶來他所需要的荊棘心山溝的梅修花怪身上的花蕊。
QUEST_UNUSED_20161118_000786	轉交給念力法師次級大師
QUEST_UNUSED_20161118_000787	已取得足夠的死亡魔特斯的尾針。請回去交給念力法師次級大師。
QUEST_UNUSED_20161118_000788	和鎖鏈法師次級大師對話。
QUEST_UNUSED_20161118_000789	請去找夏奧雷伊礦山村莊的鎖鏈法師次級大師。
QUEST_UNUSED_20161118_000790	鎖鏈法師次級大師非常著重敞開人心的鎖鏈法師的天賦。看出鎖鏈法師的天賦需要經過考驗，請在泰內聖堂地上1層把考驗所需的寇利羅斯之核與卡露克的血帶回。
QUEST_UNUSED_20161118_000791	轉交材料給鎖鏈法師次級大師
QUEST_UNUSED_20161118_000792	已收集到考驗所需的所有材料了。請把材料轉交給鎖鏈法師次級大師。
QUEST_UNUSED_20161118_000793	已消滅 肆意破壞貓頭鷹雕像的王座大蜘蛛。請再與悲傷的貓頭鷹對話。
QUEST_UNUSED_20161118_000794	為了國民和盾牌的劍[高地戰士轉職]
QUEST_UNUSED_20161118_000795	飛禽的妨礙[輕裝步兵轉職]
QUEST_UNUSED_20161118_000796	雖然高地戰士大師好像很抱歉，但不能退縮。重新和高地戰士大師對話。
QUEST_UNUSED_20161118_000797	第一支箭[弓箭手轉職]
QUEST_UNUSED_20161118_000798	治療師之路[牧師轉職]
QUEST_UNUSED_20161118_000799	永遠的敬拜[聖火祭司轉職]
QUEST_UNUSED_20161118_000800	法師大師似乎對於附近被怪物盤據卻沒有任何人要出面的情況感到相當不滿。請前往夏奧雷伊東邊森林消滅鋼鐵巴溫。
QUEST_UNUSED_20161118_000801	確認前往第1保管倉庫路上的秘密裝置
QUEST_UNUSED_20161118_000802	前往第1保管倉庫的路上有一秘密裝置。這次稍微觀察一下是什麼裝置吧。
QUEST_UNUSED_20161118_000803	破壞秘密裝置周邊出現的冰結水晶
QUEST_UNUSED_20161118_000804	這秘密裝置是個陷阱。請破壞所有出現在周邊的冰結水晶！
QUEST_UNUSED_20161118_000805	外城壁核心回收作戰
QUEST_UNUSED_20161118_000806	和奎波爾密爾達對話
QUEST_UNUSED_20161118_000807	看來得要調查一下外城壁的核心，到外城壁第9區域找奎波爾密爾達。
QUEST_UNUSED_20161118_000808	奎波爾密爾達說核心有多重保護，而且怪物多又具攻擊性，這件事不太容易處理。為了安全的調查，請消滅周圍的怪物。
QUEST_UNUSED_20161118_000809	周圍的怪物已消滅至某種程度，回去找奎波爾密爾達。
QUEST_UNUSED_20161118_000810	奎波爾密爾達好像有話要說，和奎波爾密爾達對話。
QUEST_UNUSED_20161118_000811	消滅外城壁第9區域的怪物
QUEST_UNUSED_20161118_000812	奎波爾密爾達說如果怪物不小心誤觸外城壁的裝置而導致裝置運轉會很危險，請在問題發生之前消滅怪物。
QUEST_UNUSED_20161118_000813	跟奎波爾密爾達報告
QUEST_UNUSED_20161118_000814	已充份消滅怪物，請告訴奎波爾密爾達。
QUEST_UNUSED_20161118_000815	請繼續有關梅麗莎和聖物的對話。
QUEST_UNUSED_20161118_000816	好像找到聖物了。請拿去給梅莉莎。
